virus	virulent	temperate
NODE_383_length_1007_cov_2.172269	0.8118782016546146	0.1881217983453865
NODE_521_length_1408_cov_2.277162	0.9987156186452293	0.0012843813547707623
NODE_555_length_1906_cov_3.800108	0.8118782016546146	0.1881217983453865
NODE_278_length_4850_cov_6.859437	0.8118782016546146	0.1881217983453865
NODE_990_length_1241_cov_3.139966	0.8118782016546146	0.1881217983453865
NODE_120_length_6133_cov_4.805857	0.8806952057417549	0.11930479425824539
NODE_214_length_2934_cov_7.283084	0.8118782016546146	0.1881217983453865
NODE_147_length_3367_cov_3.467089	0.8691268200909323	0.130873179909068
NODE_90_length_7159_cov_7.381194	0.8118782016546146	0.1881217983453865
NODE_608_length_2856_cov_3.351303	0.8118782016546146	0.1881217983453865
NODE_184_length_5382_cov_4.732119	0.8118782016546146	0.1881217983453865
NODE_131_length_3908_cov_6.023099	0.8118782016546146	0.1881217983453865
NODE_1594_length_1007_cov_7.385504	0.9905157011457856	0.009484298854214302
NODE_254_length_2668_cov_3.052047	0.8118782016546146	0.1881217983453865
NODE_85_length_3497_cov_2.997676	0.8118782016546146	0.1881217983453865
NODE_711_length_1467_cov_22.435552	0.0	1.0
NODE_129_length_4038_cov_6.656289	0.8970640555830691	0.10293594441693128
NODE_159_length_14466_cov_7.447367	0.9972986238568456	0.002701376143154288
NODE_390_length_2119_cov_3.486919	0.8118782016546146	0.1881217983453865
NODE_43_length_11449_cov_48.555292	0.9972986238568456	0.002701376143154288
NODE_163_length_3442_cov_4.336286	0.8118782016546146	0.1881217983453865
NODE_23_length_16638_cov_20.790870	0.9302863436123345	0.06971365638766522
NODE_200_length_14535_cov_12.284669	0.1	0.9
NODE_1139_length_1111_cov_3.319129	0.8118782016546146	0.1881217983453865
NODE_346_length_2896_cov_6.972193	0.8118782016546146	0.1881217983453865
NODE_410_length_3987_cov_3.839013	0.8118782016546146	0.1881217983453865
NODE_238_length_4814_cov_4.480353	0.0	1.0
NODE_1843_length_1674_cov_4.292156	0.824268069496024	0.17573193050397679
NODE_1717_length_1161_cov_2.851718	0.8118782016546146	0.1881217983453865
NODE_689_length_1521_cov_39.905866	0.8118782016546146	0.1881217983453865
NODE_1190_length_1875_cov_3.419231	0.8118782016546146	0.1881217983453865
NODE_1773_length_1332_cov_5.396241	0.9107929515418502	0.08920704845814986
NODE_36_length_9075_cov_4.509534	0.9625	0.0375
NODE_81_length_7387_cov_3.910938	0.8118782016546146	0.1881217983453865
NODE_388_length_2614_cov_8.046893	0.8470645545657067	0.15293544543429416
NODE_203_length_4974_cov_10.543403	0.9875	0.0125
NODE_571_length_3354_cov_5.051228	0.8118782016546146	0.1881217983453865
NODE_184_length_3248_cov_2.385218	0.8118782016546146	0.1881217983453865
NODE_367_length_2068_cov_3.520616	0.8118782016546146	0.1881217983453865
NODE_348_length_4986_cov_6.764348	0.8118782016546146	0.1881217983453865
NODE_244_length_1884_cov_3.414434	0.8118782016546146	0.1881217983453865
NODE_219_length_4156_cov_8.244331	0.968308928999852	0.031691071000148036
NODE_337_length_4693_cov_5.778353	0.9618570929616819	0.03814290703831811
NODE_288_length_3117_cov_4.919334	0.964110712130639	0.03588928786936091
NODE_503_length_2600_cov_5.917092	0.8118782016546146	0.1881217983453865
NODE_86_length_2103_cov_4.534668	0.8118782016546146	0.1881217983453865
NODE_88_length_2972_cov_5.724374	0.8278235122340396	0.17217648776596065
NODE_511_length_5254_cov_6.137911	0.8529051500704998	0.14709484992950092
NODE_423_length_3387_cov_8.639256	0.8118782016546146	0.1881217983453865
NODE_607_length_3499_cov_5.660859	0.9284736410929751	0.07152635890702505
NODE_603_length_3516_cov_4.713667	0.8118782016546146	0.1881217983453865
NODE_87_length_8976_cov_56.443896	0.0	1.0
NODE_475_length_2865_cov_5.508185	0.8118782016546146	0.1881217983453865
NODE_1377_length_1425_cov_3.488321	0.8118782016546146	0.1881217983453865
NODE_175_length_4852_cov_6.044403	0.8118782016546146	0.1881217983453865
NODE_90_length_6946_cov_17.086490	0.8362407930380643	0.16375920696193652
NODE_214_length_7019_cov_3.884262	0.8118782016546146	0.1881217983453865
NODE_630_length_1256_cov_4.538718	0.8118782016546146	0.1881217983453865
NODE_801_length_2055_cov_3.443000	0.8118782016546146	0.1881217983453865
NODE_125_length_3140_cov_7.146191	0.0	1.0
NODE_251_length_2687_cov_3.181611	0.8118782016546146	0.1881217983453865
NODE_63_length_7382_cov_54.628907	0.7801973201466772	0.21980267985332375
NODE_596_length_3718_cov_2.839476	0.8118782016546146	0.1881217983453865
NODE_2_length_58021_cov_6082.993255	0.8866368286445013	0.11336317135549874
NODE_2000_length_1204_cov_4.489121	0.8118782016546146	0.1881217983453865
NODE_95_length_6809_cov_5.090613	0.8118782016546146	0.1881217983453865
NODE_177_length_5120_cov_13.319842	0.8118782016546146	0.1881217983453865
NODE_80_length_7403_cov_25.626021	0.8388229322619907	0.16117706773800936
NODE_725_length_1450_cov_3.001434	0.8118782016546146	0.1881217983453865
NODE_139_length_11886_cov_12.290001	0.0	1.0
NODE_216_length_4183_cov_5.559835	0.15	0.85
NODE_726_length_1456_cov_7.029979	0.8118782016546146	0.1881217983453865
NODE_248_length_1950_cov_3.822691	0.9975761479884981	0.0024238520115018062
NODE_1237_length_1290_cov_3.002429	0.1375	0.8625
NODE_180_length_3287_cov_4.732983	0.8118782016546146	0.1881217983453865
NODE_55_length_9471_cov_1267.051933	0.8118782016546146	0.1881217983453865
NODE_20_length_18213_cov_12.170448|provirus_1_13875	0.0	1.0
NODE_1990_length_1063_cov_2.910714	0.8118782016546146	0.1881217983453865
NODE_344_length_3816_cov_5.428078	0.8118782016546146	0.1881217983453865
NODE_292_length_9196_cov_7.239689	0.8943502470480462	0.10564975295195407
NODE_470_length_2185_cov_5.201408	0.8118782016546146	0.1881217983453865
NODE_151_length_11622_cov_6.802715	0.8118782016546146	0.1881217983453865
NODE_387_length_2564_cov_9.634914	0.8118782016546146	0.1881217983453865
NODE_791_length_1385_cov_2.360150	0.8806952057417549	0.11930479425824539
NODE_387_length_2628_cov_3.107268	0.8118782016546146	0.1881217983453865
NODE_745_length_1204_cov_2.510009	0.9107929515418502	0.08920704845814986
NODE_390_length_2608_cov_3.097924	0.8118782016546146	0.1881217983453865
NODE_489_length_2428_cov_6.388116	0.8461605166393262	0.15383948336067438
NODE_25_length_7705_cov_7.489020	0.0	1.0
NODE_20_length_19436_cov_23.856819	0.8118782016546146	0.1881217983453865
NODE_139_length_7204_cov_13.969646	0.0	1.0
NODE_3504_length_1056_cov_3.624376	0.8118782016546146	0.1881217983453865
NODE_53_length_7445_cov_6.344655	0.0	1.0
NODE_389_length_1139_cov_2.783210	0.8278235122340396	0.17217648776596065
NODE_1031_length_1063_cov_2.473214	0.8118782016546146	0.1881217983453865
NODE_175_length_8062_cov_4.755589	0.0	1.0
NODE_318_length_3072_cov_3.768976	0.8118782016546146	0.1881217983453865
NODE_222_length_1353_cov_3.577042	0.724694777917064	0.2753052220829365
NODE_19_length_20155_cov_16.684776	0.95	0.05
NODE_487_length_2112_cov_4.077783	0.8118782016546146	0.1881217983453865
NODE_269_length_5610_cov_6.458146	0.0	1.0
