feature	Raoultibacter timonensis-1907662	Gordonibacter urolithinfaciens-1335613	Slackia isoflavoniconvertens-572010	Collinsella aerofaciens-74426	Bifidobacterium breve-1685	Turicibacter sp. H121-1712675	Faecalitalea cylindroides-39483	Faecalicoccus pleomorphus-1323	Erysipelatoclostridium ramosum-1547	Lactococcus garvieae-1363	Streptococcus equinus-1335	Enterococcus faecium-1352	Staphylococcus sciuri-1296	Laceyella sacchari-37482	Terrisporobacter mayombei-1541	Romboutsia ilealis-1115758	Flintibacter sp. KGMB00164-2610895	Flavonifractor plautii-292800	Ruthenibacterium lactatiformans-1550024	Anaeromassilibacillus senegalensis-1673717	Pseudoflavonifractor phocaeensis-1870988	Hungatella hathewayi-154046	Clostridium paraputrificum-29363	Oribacterium parvum-1501329	Anaerostipes caccae-105841	Enterocloster bolteae-208479	Anaerotignum lactatifermentans-160404	[Ruminococcus] gnavus-33038	Lacrimispora saccharolytica-84030	Lachnoclostridium sp. YL32-1834196	Blautia luti-89014	Shigella flexneri-623	Escherichia coli-562	Enterobacter hormaechei-158836	Parabacteroides distasonis-823	Butyricimonas phoceensis-1720203	Phocaeicola vulgatus-821	Bacteroides uniformis-820	Alistipes putredinis-28117
VIVO8-FEC-16S-FEB28_M26	NA	0.00257011111951017	NA	NA	0.00317484314763021	0.00128505555975508	0.000755915035150049	0.00400634968629526	0.000831506538665054	NA	0.00438430720387028	0.38559225943004	NA	0.00196537909139013	0.00113387255272507	0.0290271373497619	0.00166301307733011	0.00211656209842014	0.00332602615466022	NA	NA	0.186559830675032	NA	0.00196537909139013	0.00536699674956535	0.015874215738151	0.00423312419684028	0.00438430720387028	0.00740796734447048	NA	0.00642527779877542	NA	0.00854183989719555	NA	0.0130017386045808	NA	0.0112631340237357	0.290951697029254	NA
VIVO8-FEC-16S-APR02_F28	NA	0.00277392510402219	NA	NA	0.0039297272306981	NA	NA	0.0040453074433657	NA	NA	0.00416088765603329	0.36997226074896	NA	NA	0.00208044382801664	0.0173370319001387	0.00577901063337957	0.00416088765603329	0.0040453074433657	NA	NA	0.257859454461396	NA	0.00231160425335183	0.00647249190938511	0.018377253814147	0.0053166897827092	0.00577901063337957	0.00543226999537679	NA	0.00462320850670365	NA	0.00335182616736015	NA	0.00785945446139621	NA	0.0180305131761442	0.24422098936662	NA
VIVO8-FEC-16S-FEB18_M26	NA	0.00315073930733353	0.000322516622010519	0.000297707651086633	0.00290264959809467	0.00208395355760643	0.00069465118586881	0.0049866031557011	NA	0.000272898680162747	0.00332440210380073	0.288553140815719	NA	0.00126525751711819	0.0017862459065198	0.0291505408355661	0.00210876252853032	0.00272898680162747	0.00585491713803711	NA	NA	0.234990572591049	NA	0.00704574774238365	0.00612781581819986	0.0132727994442791	0.00699612980053587	0.00565644537064603	0.00543316463233105	0.000421752505706063	0.00769078098640468	NA	0.00434156991168006	NA	0.0145132479904734	NA	0.0343108067877344	0.308003374020046	NA
VIVO8-FEC-16S-MAR07_M27	0.000328361820161416	0.00297253858251387	0.000570312635017196	0.000207386412733526	0.0116136391130774	0.00036292622228367	0.000293797418039161	0.00309351398994176	NA	0.000224668613794653	0.0193560651884624	0.258870089694623	NA	0.00103693206366763	0.0013998582859513	0.0165045020133764	0.00108877866685101	0.0026096123602302	0.00513281371515476	NA	NA	0.20531254860619	0.000328361820161416	0.00131344728064566	0.0082781743082799	0.0151392081295474	0.00596235936608887	0.0043896790695263	0.00760416846689594	0.000587594836078323	0.00513281371515476	0.000190104211672399	0.00468347648756546	NA	0.0168847104367212	NA	0.0265454608298913	0.370323004337832	NA
VIVO8-FEC-16S-FEB21_M27	NA	0.00719212836993131	0.000720683619890868	0.000720683619890868	0.00451530349605095	0.00188260210910268	0.00108837934432498	0.0122369137091674	0.00019120177670574	0.000382403553411481	0.00269153270285773	0.181656395699431	NA	0.00123545763409863	0.00185318645114795	0.0308864408524658	0.00267682487388037	0.00357400244149961	0.00520657145798709	0.000235325263637834	NA	0.27385977555853	0.000455942698298304	0.00320630671706549	0.00683914047447456	0.0149284464120251	0.0051183244841229	0.00516244797105499	0.00869232692562251	0.000705975790913503	0.00763336323925225	NA	0.00444176435116412	0.000176493947728376	0.0148696150961157	NA	0.0320630671706549	0.360621258696004	NA
VIVO8-FEC-16S-FEB11_M27	NA	0.00175628713426255	0.00112103434101865	0.00041104592504017	0.00545570045962408	0.000485781547774747	NA	0.00149471245469153	NA	0.000373678113672882	0.00440940174134001	0.28358432046635	NA	0.00108366652965136	0.00149471245469153	0.0230559396136168	0.0025410111729756	0.00205522962520085	0.00302679272075035	NA	NA	0.270991368035574	NA	NA	0.0342662830238033	0.0138260902058966	0.00504465453458391	0.0139755614513658	0.00160681588879339	0.000523149359142035	0.00242890773887373	NA	0.00470834423227832	NA	0.0137887223945294	NA	0.0368072941967789	0.264975150405441	NA
VIVO8-FEC-16S-FEB28_M27	NA	0.002266478412722	0.000464442297688935	0.000185776919075574	0.00566619603180501	0.000947462287285428	0.000705952292487181	0.00486735527978004	0.000185776919075574	0.00057590844913428	0.00412424760347774	0.268168982685591	NA	0.00107750613063833	0.00128186074162146	0.0201753734116073	0.000854573827747641	0.00185776919075574	0.00271234301850338	NA	NA	0.198019618042654	0.000352976146243591	0.000464442297688935	0.00566619603180501	0.0109422605335513	0.00442149067399866	0.00509028758267073	0.00650219216764509	0.000464442297688935	0.00503455450694806	0.000297243070520918	0.00639072601619975	NA	0.0161068588838523	NA	0.0301515939659657	0.392063610017092	NA
VIVO8-FEC-16S-FEB18_M27	NA	0.00306924571630454	0.000419537184243067	NA	0.00368751104045222	0.000574103515279986	0.000309132662073839	0.00397456279809221	NA	0.000220809044338456	0.00242889948772302	0.131690514043455	NA	0.00132485426603074	0.00110404522169228	0.0192324677618795	0.00247306129659071	0.0017443914502738	0.00516693163751987	NA	NA	0.221316905140435	0.000309132662073839	0.0027601130542307	0.00507860801978449	0.0102234587528705	0.00470323264440912	0.00465907083554142	0.00540982158629217	0.000220809044338456	0.00516693163751987	NA	0.00415121003356298	NA	0.0206456456456456	NA	0.0633721957251369	0.473458752870518	NA
VIVO8-FEC-16S-APR02_F29	NA	0.00509212730318258	0.00067001675041876	NA	0.00375209380234506	0.000435510887772194	0.000569514237855946	0.00509212730318258	NA	0.000737018425460637	0.00418760469011725	0.449916247906198	NA	0.000837520938023451	0.00247906197654941	0.0139028475711893	0.00184254606365159	0.00224455611390285	0.0040536013400335	NA	NA	0.176817420435511	0.000536013400335008	0.000804020100502513	0.0047571189279732	0.0147738693467337	0.00402010050251256	0.00375209380234506	0.00455611390284757	0.000435510887772194	0.00331658291457286	NA	0.00415410385259631	NA	0.0119597989949749	NA	0.0224455611390285	0.250050251256281	NA
VIVO8-FEC-16S-FEB21_M26	NA	0.0039416148303258	0.000508098786721685	0.000277144792757283	0.00426495042187596	0.0015088994272341	0.000723655847755127	0.00655909342858902	NA	0.000354129457412084	0.00335653137894931	0.268630288846462	0.000230953993964402	0.00120096076861489	0.0024327154030917	0.0320410174293281	0.00161667795775082	0.00392621789739484	0.00602020077600542	NA	NA	0.219514072796699	0.000461907987928805	0.00520416333066453	0.00863767937426865	0.0188920367062881	0.00608178850772926	0.00515797253187165	0.00722116154462031	0.000569686518445526	0.0111781733078771	NA	0.00352589764118988	0.000230953993964402	0.0117170659604607	NA	0.0255589086653939	0.336299809078032	NA
